Name,Phone_Number,Email,gender,Near_Location,Partner,Promo_friends,Phone,Contract_period,Group_visits,Age,Avg_additional_charges_total,Month_to_end_contract,Lifetime,Avg_class_frequency_total,Avg_class_frequency_current_month,Churn,Attendance_Drop,Months_Served,Age_at_Joining
Lipika Memon,06799242295,lipika.memon@hotmail.com,0,1,1,1,1,12,0,29,208.9807514639272,12.0,12,3.0835027485045474,3.137978891402041,0,-0.054476142897493585,0.0,28.0
Daksh Bhat,+910657856509,daksh.bhat@yahoo.com,0,1,0,0,1,6,0,26,243.51068017558129,5.0,4,1.6950063019979729,1.6781187218678733,0,0.01688758013009961,1.0,25.7
Eiravati Sarin,+916770139357,eiravati.sarin@hotmail.com,0,1,0,0,1,12,1,33,188.59086256820493,12.0,11,0.5611384840428737,0.5659106205423078,0,-0.004772136499434088,0.0,32.1
Chandran Reddy,No Number Provided,chandran.reddy@gmail.com,0,1,0,0,0,1,0,34,65.74274262265584,1.0,1,1.0699892680002354,1.0519945422537709,0,0.017994725746464546,0.0,33.9
Arunima Thakur,08087705747,arunima.thakur@yahoo.com,1,1,0,0,1,1,1,32,14.25472125783996,1.0,21,3.3723138038385403,3.3157149345500736,0,0.05659886928846669,0.0,30.2
Vedika Dhar,04512944306,vedika.dhar@gmail.com,1,1,1,1,1,12,1,25,179.03883962297508,12.0,12,1.7949385766908976,1.716777789644885,0,0.07816078704601259,0.0,24.0
Chavvi Sidhu,No Number Provided,chavvi.sidhu@hotmail.com,1,1,0,1,0,6,1,35,233.2395478031676,6.0,0,1.270751504397165,1.2065910354788194,0,0.0641604689183457,0.0,35.0
Urvashi Aurora,+918155863206,urvashi.aurora@gmail.com,0,1,1,1,1,12,0,33,5.135184497156928,12.0,5,2.9452379650144063,3.008917866863644,0,-0.06367990184923755,0.0,32.6
Onkar Babu,No Number Provided,onkar.babu@yahoo.com,0,1,1,1,0,1,0,25,161.60734904259368,1.0,1,0.8789498475034133,0.0092440811667241,1,0.8697057663366892,0.0,24.9
Xalak Anand,9255024951,xalak.anand@hotmail.com,0,1,0,0,1,12,0,36,108.90944277802252,12.0,1,2.046309893657255,2.0797042598139592,0,-0.033394366156704436,0.0,35.9
Krishna Madan,No Number Provided,krishna.madan@gmail.com,0,1,1,1,0,1,1,30,261.7131880951677,1.0,4,3.863329318623784,3.8082617008204727,0,0.055067617803311375,0.0,29.7
Prisha Dara,2441097090,prisha.dara@hotmail.com,1,1,1,0,1,12,0,29,332.4890410547644,9.0,4,3.0714307544217,3.112817956184608,0,-0.041387201762908,3.0,28.7
Qasim Koshy,9037674568,qasim.koshy@yahoo.com,1,1,1,0,1,6,0,29,139.34952378010922,6.0,8,1.391037096478528,1.3544371854288566,0,0.03659991104967131,0.0,28.3
Vaishnavi Hans,+910631305494,vaishnavi.hans@yahoo.com,1,1,0,0,1,1,0,26,54.18423621080765,1.0,0,0.8540792567085165,0.0,1,0.8540792567085165,0.0,26.0
Vrishti Oak,+918159706547,vrishti.oak@gmail.com,1,1,1,1,1,6,0,33,115.0991177252774,6.0,3,3.373237583328313,3.3783911776787003,0,-0.005153594350387536,0.0,32.8
Maanas Mohan,5190385717,maanas.mohan@gmail.com,1,1,0,1,1,1,1,25,152.95423818790002,1.0,12,2.915044970361457,2.8685849547070923,0,0.04646001565436464,0.0,24.0
Netra Acharya,+912495618269,netra.acharya@gmail.com,0,1,0,0,1,6,0,27,272.99718088898123,6.0,12,2.288928344890015,2.2043292947378545,0,0.08459905015216052,0.0,26.0
Manan Kapoor,+911760236286,manan.kapoor@gmail.com,1,1,0,0,1,1,0,33,204.2615056608934,1.0,6,1.8025185415587104,1.7216235470768095,0,0.08089499448190085,0.0,32.5
Lucky Sandhu,1188713117,lucky.sandhu@yahoo.com,1,0,1,0,1,1,0,29,373.066503119564,1.0,0,1.6858228409402505,1.6617420771398794,0,0.024080763800371052,0.0,29.0
Chaman Bava,+913535864089,chaman.bava@yahoo.com,1,1,0,1,1,1,1,30,252.9156830285072,1.0,1,1.491547003063834,1.0592608497344491,1,0.4322861533293849,0.0,29.9
Pahal Bose,7746584422,pahal.bose@gmail.com,0,1,0,0,1,6,1,24,1.754737156770652,4.0,6,3.0056564705977453,2.9871328008335536,0,0.01852366976419173,2.0,23.5
Matthew Gupta,8132917301,matthew.gupta@yahoo.com,0,1,0,0,1,12,1,23,34.972072319098174,11.0,3,0.0294275662078662,0.2131890921930141,0,-0.1837615259851479,1.0,22.8
Champak Mann,No Number Provided,champak.mann@hotmail.com,0,1,1,1,0,1,0,30,194.6691783286323,1.0,4,1.8930153973176576,1.9009430377531884,0,-0.007927640435530847,0.0,29.7
Abha Sankar,04809117480,abha.sankar@hotmail.com,1,1,0,0,1,6,1,30,134.4978468662896,6.0,2,1.6869872332841584,1.7088797675468983,0,-0.02189253426273985,0.0,29.8
Jonathan Krishnan,+911243249164,jonathan.krishnan@hotmail.com,0,1,0,0,1,6,1,27,236.9158278764984,6.0,0,0.9964930166420368,0.0,1,0.9964930166420368,0.0,27.0
Warinder Deo,09947360820,warinder.deo@yahoo.com,1,1,1,1,1,6,0,28,115.77487796084124,6.0,2,0.6335916085168876,0.7550997925776941,0,-0.12150818406080655,0.0,27.8
Gaurav Mammen,4601823152,gaurav.mammen@hotmail.com,1,1,1,1,1,1,0,34,166.862754236209,1.0,10,0.0,0.0,0,0.0,0.0,33.2
Warinder Nanda,2266694449,warinder.nanda@yahoo.com,0,1,1,0,1,1,1,28,262.30956844586706,1.0,2,1.0266105076125682,0.9604870154524944,1,0.06612349216007385,0.0,27.8
Kashish Kumer,07455000090,kashish.kumer@hotmail.com,0,1,1,0,1,6,0,32,55.77441782254436,5.0,6,0.8135614904122801,0.8746773672175823,0,-0.06111587680530217,1.0,31.5
Chaaya Misra,No Number Provided,chaaya.misra@yahoo.com,0,1,1,1,0,6,0,34,72.64111198794714,6.0,2,0.0,0.0,0,0.0,0.0,33.8
Karan Hans,+915855621534,karan.hans@gmail.com,1,1,0,0,1,1,0,28,42.16080904270572,1.0,1,0.4250114097298257,0.6052465413331591,1,-0.18023513160333343,0.0,27.9
Saksham Pandit,06124897914,saksham.pandit@gmail.com,0,1,1,0,1,6,0,30,95.37852877345216,6.0,2,2.9173741573753875,2.968503817781418,0,-0.051129660406030286,0.0,29.8
Abhiram Murty,09076608831,abhiram.murty@yahoo.com,1,1,1,1,1,1,1,31,163.9731019398782,1.0,6,1.4245181139541172,1.0359563100429756,0,0.3885618039111416,0.0,30.5
Yatan Kade,+916751204713,yatan.kade@gmail.com,0,1,0,0,1,1,0,28,35.110895275635045,1.0,1,1.704473441832295,0.8869797239670347,1,0.8174937178652604,0.0,27.9
Abhiram Dugal,00460049736,abhiram.dugal@yahoo.com,1,1,0,0,1,1,1,30,414.5433842898426,1.0,3,2.8483272840904283,2.8631626362637617,0,-0.014835352173333316,0.0,29.8
Anvi Soni,00942367848,anvi.soni@yahoo.com,0,1,0,0,1,1,0,27,152.06524646464462,1.0,1,1.0757009693441617,1.5809020013086426,1,-0.5052010319644809,0.0,26.9
Vansha Sethi,01606579897,vansha.sethi@gmail.com,1,1,0,0,1,6,0,27,122.33561541666757,6.0,7,2.399736098485752,2.3397980647546905,0,0.059938033731061324,0.0,26.4
Yachana Singh,No Number Provided,yachana.singh@hotmail.com,1,1,1,0,0,1,0,27,228.0719505992239,1.0,0,1.7193771214690177,1.340513652956493,1,0.3788634685125247,0.0,27.0
Nirja Sahota,+919557771223,nirja.sahota@yahoo.com,0,1,1,1,1,12,0,26,174.97805438258493,11.0,0,1.0616442534670267,1.0272294821392989,0,0.034414771327727856,1.0,26.0
Praneel Sabharwal,9235408769,praneel.sabharwal@hotmail.com,1,1,1,1,1,6,0,29,134.56411185989518,5.0,0,1.7258345652501248,0.8948147737986513,1,0.8310197914514735,1.0,29.0
Gautami Sekhon,+913959738935,gautami.sekhon@yahoo.com,0,1,0,0,1,1,0,24,31.340568586282807,1.0,1,0.4650452286466966,0.0,1,0.4650452286466966,0.0,23.9
Samuel Sunder,+911648381943,samuel.sunder@hotmail.com,1,1,0,0,1,1,0,24,215.40890983725217,1.0,2,1.7821071683054306,2.1269777129187504,1,-0.3448705446133198,0.0,23.8
Christopher Dani,01176289862,christopher.dani@yahoo.com,1,0,0,0,1,1,0,30,8.39841697871205,1.0,2,1.851313434533592,1.3633300281609189,1,0.4879834063726731,0.0,29.8
Anusha Ramakrishnan,03847252525,anusha.ramakrishnan@gmail.com,1,0,0,0,1,1,1,30,249.5130881367792,1.0,2,0.8754402522144942,1.002298541581715,0,-0.12685828936722077,0.0,29.8
Neelima Sen,+912971260147,neelima.sen@yahoo.com,1,1,0,0,1,1,0,32,241.08037796680668,1.0,5,3.824978830624872,4.1000039575190055,0,-0.2750251268941333,0.0,31.6
Xavier Ramesh,3257957604,xavier.ramesh@gmail.com,0,1,1,0,1,6,1,30,68.78617060962523,6.0,4,1.5220966434730856,1.6244360306453711,0,-0.10233938717228552,0.0,29.7
Advay Devan,+914425515339,advay.devan@hotmail.com,0,0,0,0,1,1,0,25,277.7136524685851,1.0,12,3.4116349557496166,3.3417801704179326,0,0.06985478533168399,0.0,24.0
Damyanti Sandhu,7537189535,damyanti.sandhu@yahoo.com,1,1,1,0,1,1,1,28,132.144631872878,1.0,1,3.7154929789970073,3.907798981498432,0,-0.1923060025014247,0.0,27.9
Rachana Dara,09111525672,rachana.dara@gmail.com,1,1,1,1,1,6,1,26,73.17954865693335,6.0,7,0.6317305922219072,0.7020948185059079,0,-0.07036422628400074,0.0,25.4
Sai Gopal,03137413057,sai.gopal@hotmail.com,0,1,0,1,1,1,0,24,83.65564541127117,1.0,0,0.2689192695010907,0.1026489785077283,1,0.16627029099336238,0.0,24.0
Ekalinga Das,8665624696,ekalinga.das@yahoo.com,1,1,0,0,1,1,0,23,27.72516717934969,1.0,1,1.7405804733781518,1.1353422739039891,1,0.6052381994741627,0.0,22.9
Ekaja Sahota,06914525913,ekaja.sahota@hotmail.com,0,1,1,1,1,6,1,28,287.83547410585294,5.0,5,2.946074825900828,2.9358866076199304,0,0.010188218280897665,1.0,27.6
Samarth Gill,+912498464413,samarth.gill@yahoo.com,1,1,1,1,1,1,0,25,34.33285789841679,1.0,3,0.1187338755972613,0.0,1,0.1187338755972613,0.0,24.8
Tanish Narasimhan,04823805156,tanish.narasimhan@hotmail.com,1,1,1,0,1,12,1,30,251.4285935907357,11.0,4,1.17374771802435,1.297812288876334,0,-0.12406457085198386,1.0,29.7
Yashoda Boase,3978929394,yashoda.boase@gmail.com,0,1,0,0,1,6,0,28,32.93942560366577,6.0,4,2.2465993825465067,2.3200048335825336,0,-0.07340545103602691,0.0,27.7
Harita Hans,01387436786,harita.hans@yahoo.com,0,1,0,0,1,1,0,26,123.69663367051903,1.0,0,2.370527312090504,2.6467698174213514,1,-0.27624250533084727,0.0,26.0
Idika Loke,+915019188955,idika.loke@hotmail.com,1,0,1,0,1,1,0,27,22.33167910602752,1.0,5,0.47477651870494,0.5025592116201367,0,-0.02778269291519675,0.0,26.6
Nihal D’Alia,9303941416,nihal.d’alia@gmail.com,1,1,1,0,1,12,1,26,28.737502094361183,10.0,4,1.4940636354312635,1.3973639760045613,0,0.09669965942670222,2.0,25.7
Anthony Swamy,No Number Provided,anthony.swamy@yahoo.com,1,0,0,0,0,1,0,28,168.77758597340758,1.0,6,2.191897557124226,2.1428509911826383,0,0.04904656594158752,0.0,27.5
Abhimanyu Ghose,+912352423563,abhimanyu.ghose@yahoo.com,0,1,1,0,1,1,0,28,340.3376306136844,1.0,3,3.774787369574622,3.7568045419689895,0,0.017982827605632412,0.0,27.8
Hamsini Mangat,1271715842,hamsini.mangat@gmail.com,0,1,1,1,1,1,0,31,6.075928811888389,1.0,1,2.484539409878816,1.380961289930868,1,1.103578119947948,0.0,30.9
Harshil Buch,08880917589,harshil.buch@gmail.com,0,1,0,0,1,6,1,21,232.9395501524931,5.0,0,2.1754577652294564,1.3714960723553764,1,0.80396169287408,1.0,21.0
Anthony Goswami,02118106972,anthony.goswami@yahoo.com,1,1,0,0,1,6,0,25,101.70260431483764,5.0,0,0.6698056577616651,0.363487178436626,1,0.30631847932503914,1.0,25.0
Mahika Choudhry,0932393035,mahika.choudhry@yahoo.com,1,1,1,0,1,6,0,30,179.12385201927108,6.0,3,2.9386727290689536,2.878774224056152,0,0.059898505012801806,0.0,29.8
Anirudh Vaidya,06398937565,anirudh.vaidya@gmail.com,1,1,1,1,1,6,1,31,23.30183743832832,6.0,6,1.0401576639009331,0.9848822199189222,0,0.0552754439820109,0.0,30.5
Daksha Sunder,7655870283,daksha.sunder@yahoo.com,1,1,0,0,1,1,0,26,125.38696288946257,1.0,0,1.3809212509032245,0.2700311708744477,1,1.1108900800287769,0.0,26.0
Farhan Sankar,02111082338,farhan.sankar@hotmail.com,1,1,0,0,1,1,0,26,31.121602708977328,1.0,3,1.7469905991082242,1.0234742455518258,1,0.7235163535563984,0.0,25.8
Chandran Bains,0690545228,chandran.bains@yahoo.com,1,1,0,0,1,1,1,25,51.29686857062286,1.0,1,2.403919209995124,1.7781083831303015,1,0.6258108268648226,0.0,24.9
Ekanta Sastry,+916804755600,ekanta.sastry@hotmail.com,0,1,0,0,1,1,0,29,83.36584987362376,1.0,0,1.0469816970769954,0.4700144165664834,1,0.5769672805105119,0.0,29.0
Nitara Naidu,9950081988,nitara.naidu@hotmail.com,0,1,1,1,1,1,0,33,16.749150128407233,1.0,1,2.9117440133190686,2.944011414458372,0,-0.03226740113930315,0.0,32.9
Edhitha Gera,+916790504815,edhitha.gera@yahoo.com,0,1,1,0,1,1,0,26,146.34070104575625,1.0,2,1.2115879578486268,0.9747216937180944,1,0.23686626413053247,0.0,25.8
Gunbir Mishra,3058426628,gunbir.mishra@gmail.com,0,1,0,0,1,12,0,31,29.41397013659436,12.0,20,1.4514353286809352,1.4390183528850824,0,0.01241697579585277,0.0,29.3
Ojas Sidhu,8088488438,ojas.sidhu@hotmail.com,1,0,0,0,1,1,1,23,181.45971578175823,1.0,1,1.9281692678050049,1.5317336965826966,1,0.3964355712223082,0.0,22.9
Tanvi Bala,09144592986,tanvi.bala@gmail.com,1,1,0,0,1,1,0,28,241.9959185318043,1.0,2,1.0152798205075948,1.067772138388974,0,-0.0524923178813792,0.0,27.8
Champak Bassi,+910560227664,champak.bassi@gmail.com,0,1,1,1,1,12,1,34,114.96079547186244,9.0,1,2.6427719703469594,2.492826314363076,0,0.14994565598388343,3.0,33.9
Faras Devan,06575639740,faras.devan@yahoo.com,0,0,0,0,1,1,1,30,167.04449971423398,1.0,7,2.344395260080297,2.4936257662312507,0,-0.1492305061509538,0.0,29.4
Christopher Sawhney,02565878175,christopher.sawhney@yahoo.com,0,1,1,1,1,12,1,29,59.803126535668106,12.0,6,2.275885466533244,2.531185530426696,0,-0.25530006389345195,0.0,28.5
Janani Kibe,2413459184,janani.kibe@hotmail.com,0,1,0,0,1,12,1,27,234.7699295124091,11.0,4,5.410054460060277,5.3684153086386734,0,0.04163915142160324,1.0,26.7
Sara Dutta,No Number Provided,sara.dutta@yahoo.com,1,1,0,0,0,1,1,25,251.4583500319224,1.0,2,0.9557186352995468,0.3658752226727858,1,0.589843412626761,0.0,24.8
Vidhi Balay,+918179886743,vidhi.balay@yahoo.com,0,1,1,1,1,6,0,29,88.90794258372078,6.0,1,3.272647095890072,3.4071510162640744,0,-0.13450392037400238,0.0,28.9
Wazir Mittal,+918327748168,wazir.mittal@gmail.com,1,1,1,1,1,12,1,29,205.4779368486628,12.0,9,2.745098447042129,2.733828018761546,0,0.011270428280583111,0.0,28.2
Avi Banerjee,09715129530,avi.banerjee@yahoo.com,0,1,1,1,1,12,1,32,258.6483831413877,12.0,2,0.9275427880054106,0.9283259966866128,0,-0.0007832086812021855,0.0,31.8
Libni Choudhury,+912146850925,libni.choudhury@hotmail.com,1,1,1,0,1,1,0,31,191.38688101892745,1.0,2,1.818105337256105,1.822569193691037,0,-0.00446385643493219,0.0,30.8
Chandani Joshi,5474622089,chandani.joshi@hotmail.com,1,1,1,1,1,6,0,33,131.59350534816556,4.0,2,1.6917685839133416,1.5514089576137582,0,0.14035962629958343,2.0,32.8
Advika Nigam,07838167459,advika.nigam@yahoo.com,0,0,0,0,1,1,0,23,59.16390792720026,1.0,0,0.5569303101938249,0.7016431375555228,1,-0.14471282736169788,0.0,23.0
Manthan Raju,5330147103,manthan.raju@hotmail.com,1,0,0,0,1,1,0,32,301.6247074768349,1.0,3,1.208335701472376,0.6964942377807813,1,0.5118414636915946,0.0,31.8
Fitan Dhaliwal,8333863053,fitan.dhaliwal@yahoo.com,0,1,0,0,1,1,0,30,114.79801858351584,1.0,2,0.9923117660496328,0.6454407141065595,1,0.3468710519430733,0.0,29.8
Nachiket Bala,+913399819532,nachiket.bala@yahoo.com,1,0,1,0,1,1,0,31,235.0992659938536,1.0,1,0.9738344685858789,0.5502849081008999,1,0.42354956048497894,0.0,30.9
Finn Mohanty,01001054456,finn.mohanty@gmail.com,0,1,1,1,1,1,0,25,254.79803358463136,1.0,1,0.4582555774679724,0.4465616442972493,0,0.011693933170723092,0.0,24.9
Samuel Venkatesh,7353516191,samuel.venkatesh@yahoo.com,1,1,0,0,1,12,1,32,231.3415397907338,10.0,2,2.3034199553453902,2.2840959269452235,0,0.01932402840016678,2.0,31.8
Tanay Narayanan,5479972376,tanay.narayanan@hotmail.com,0,0,0,0,1,6,0,29,138.79924403742478,6.0,0,1.8729408918779231,2.0129160654935427,1,-0.13997517361561962,0.0,29.0
Barkha Mukhopadhyay,+916055683217,barkha.mukhopadhyay@gmail.com,1,0,1,0,1,1,1,28,162.55456456434447,1.0,1,1.11028845707887,1.1744855327659098,0,-0.0641970756870398,0.0,27.9
Peter Shan,06727768756,peter.shan@yahoo.com,1,1,0,0,1,1,1,34,7.540132676980518,1.0,10,2.171613310156107,2.057809662003997,0,0.11380364815210964,0.0,33.2
Ojas Kapoor,+911382437195,ojas.kapoor@gmail.com,1,0,1,0,1,1,0,33,85.16550229006472,1.0,2,1.1623865758546,1.1713054369691651,0,-0.00891886111456519,0.0,32.8
Hemang Dixit,No Number Provided,hemang.dixit@gmail.com,0,0,0,0,0,1,0,25,59.880380930851686,1.0,0,1.4034844635468628,2.463702782900136,1,-1.060218319353273,0.0,25.0
Leela Bhatt,9869092621,leela.bhatt@hotmail.com,1,0,1,0,1,6,0,29,291.7312753504424,5.0,0,0.0,0.0,1,0.0,1.0,29.0
Nicholas Srinivas,06635916146,nicholas.srinivas@hotmail.com,0,1,0,0,1,12,1,28,5.865051308080439,9.0,7,1.3528004355223553,1.316758784003043,0,0.03604165151931227,3.0,27.4
Benjamin Dave,04499114406,benjamin.dave@gmail.com,1,1,1,1,1,12,0,28,243.8207002866404,12.0,4,0.9152334018950924,0.8502862985811935,0,0.06494710331389886,0.0,27.7
Saanvi Vyas,No Number Provided,saanvi.vyas@gmail.com,1,1,1,1,0,1,0,32,161.47406989868878,1.0,0,1.7009807840654572,1.3408570516149736,1,0.36012373245048357,0.0,32.0
Harsh Uppal,01870756436,harsh.uppal@hotmail.com,0,1,0,0,1,6,0,34,184.6931236973552,6.0,7,1.52040715790207,1.5413463311071198,0,-0.0209391732050499,0.0,33.4
Chaitanya Manne,2189446779,chaitanya.manne@yahoo.com,0,1,0,0,1,6,1,27,227.86063342991784,6.0,4,2.515823611144828,2.504537284981847,0,0.011286326162981197,0.0,26.7
Rajeshri Sachdev,No Number Provided,rajeshri.sachdev@yahoo.com,1,1,0,0,0,1,0,26,73.70488062420708,1.0,6,0.7706409023809214,0.4472650318654215,1,0.32337587051549993,0.0,25.5
Samaksh Hayer,02125638766,samaksh.hayer@hotmail.com,1,0,0,0,1,1,0,33,262.71747286475966,1.0,9,3.46336356743842,3.5978630478792324,0,-0.1344994804408124,0.0,32.2
Aarini Narula,+910854151964,aarini.narula@hotmail.com,1,1,0,0,1,1,0,32,96.91721282537708,1.0,2,1.0249496800378504,0.90651711898179,1,0.11843256105606037,0.0,31.8
Harrison Sanghvi,02501360613,harrison.sanghvi@gmail.com,0,1,0,0,1,1,0,28,226.23141041910444,1.0,6,0.4852549953585394,0.398128545468232,0,0.08712644989030738,0.0,27.5
Yug Deshmukh,+917436585772,yug.deshmukh@gmail.com,0,1,1,1,1,12,0,29,10.804310442202306,12.0,2,1.5870116110503345,1.5952250029862822,0,-0.008213391935947723,0.0,28.8
Maanav Sarna,04316491108,maanav.sarna@gmail.com,1,1,1,1,1,12,1,35,161.989847247568,12.0,4,2.586389240078054,2.66129491918179,0,-0.07490567910373613,0.0,34.7
Gautami Parmar,2835535895,gautami.parmar@gmail.com,0,1,0,0,1,1,0,25,322.65654787308245,1.0,3,2.0866801872970435,2.207409810641474,0,-0.1207296233444306,0.0,24.8
Geetika Malhotra,0101256763,geetika.malhotra@hotmail.com,1,1,0,0,1,6,1,30,172.19943740262332,6.0,3,2.0573506141918423,2.026214820457785,0,0.031135793734057504,0.0,29.8
Tejas Kakar,No Number Provided,tejas.kakar@gmail.com,1,0,1,0,0,12,0,29,89.65779449812035,12.0,1,3.5215020511386634,3.3681368682113098,0,0.15336518292735368,0.0,28.9
